Ort,keyCity,region,district,a_district,schulen_anzahl,glasfaser,anteil_glasfaser,breitband,andere,netz_alle,auswertbar,antwort
Aachen,5334002,Rheinland,Städteregion Aachen,Köln,57,18,31.57894736842105,39,0,57,ja,ja
Ahaus,5554004,Westfalen,Borken,Münster,10,10,100.0,0,0,10,ja,ja
Ahlen,5570004,Westfalen,Warendorf,Münster,14,0,0.0,14,0,14,ja,ja
Aldenhoven,5358004,Rheinland,Düren,Köln,2,2,100.0,0,0,2,ja,ja
Alfter,5382004,Rheinland,Rhein-Sieg-Kreis,Köln,7,0,0.0,3,0,3,ja,ja
Alsdorf,5334004,Rheinland,Städteregion Aachen,Köln,13,4,30.76923076923077,9,0,13,ja,ja
Altena,5962004,Westfalen,Märkischer Kreis,Arnsberg,4,0,0.0,0,0,0,ja,ja
Altenbeken,5774004,Westfalen,Paderborn,Detmold,2,0,0.0,3,0,3,ja,ja
Altenberge,5566004,Westfalen,Steinfurt,Münster,2,0,0.0,0,2,2,ja,ja
Anröchte,5974004,Westfalen,Soest,Arnsberg,2,0,0.0,425,0,425,ja,ja
Arnsberg,5958004,Westfalen,Hochsauerlandkreis,Arnsberg,23,0,0.0,0,0,0,ja,ja
Ascheberg,5558004,Westfalen,Coesfeld,Münster,3,3,100.0,0,0,3,ja,ja
Augustdorf,5766004,Westfalen,Lippe,Detmold,3,0,0.0,32,0,32,ja,ja
Bad Berleburg,5970004,Westfalen,Siegen-Wittgenstein,Arnsberg,8,0,0.0,3,5,8,ja,ja
Bad Driburg,5762004,Westfalen,Höxter,Detmold,3,3,100.0,0,0,3,ja,ja
Bad Honnef,5382008,Rheinland,Rhein-Sieg-Kreis,Köln,5,0,0.0,5,0,5,ja,ja
Bad Laasphe,5970028,Westfalen,Siegen-Wittgenstein,Arnsberg,5,1,20.0,4,1,6,ja,ja
Bad Lippspringe,5774008,Westfalen,Paderborn,Detmold,3,2,66.66666666666666,1,0,3,ja,ja
Bad Oeynhausen,5770004,Westfalen,Minden-Lübbecke,Detmold,10,3,30.0,7,0,10,ja,ja
Bad Salzuflen,5766008,Westfalen,Lippe,Detmold,13,0,0.0,13,0,13,ja,ja
Bad Sassendorf,5974008,Westfalen,Soest,Arnsberg,2,0,0.0,0,0,0,ja,ja
Bad Wünnenberg,5774040,Westfalen,Paderborn,Detmold,4,0,0.0,4,0,4,ja,ja
Baesweiler,5334008,Rheinland,Städteregion Aachen,Köln,8,0,0.0,8,0,8,ja,ja
Balve,5962008,Westfalen,Märkischer Kreis,Arnsberg,5,0,0.0,5,0,5,ja,ja
Barntrup,5766012,Westfalen,Lippe,Detmold,3,0,0.0,150,0,150,ja,ja
Beckum,5570008,Westfalen,Warendorf,Münster,10,0,0.0,1225,0,1225,ja,ja
Bedburg,5362004,Rheinland,Rhein-Erft-Kreis,Köln,7,0,0.0,7,0,7,ja,ja
Bedburg-Hau,5154004,Rheinland,Kleve,Düsseldorf,2,0,0.0,2,0,2,ja,ja
Beelen,5570012,Westfalen,Warendorf,Münster,1,1,100.0,0,0,200,ja,ja
Bergheim,5362008,Rheinland,Rhein-Erft-Kreis,Köln,15,4,26.666666666666668,11,0,15,ja,ja
Bergisch Gladbach,5378004,Rheinland,Rheinisch-Bergischer Kreis,Köln,32,0,0.0,32,0,32,ja,ja
Bergneustadt,5374004,Rheinland,Oberbergischer Kreis,Köln,6,0,0.0,6,0,6,ja,ja
Bestwig,5958008,Westfalen,Hochsauerlandkreis,Arnsberg,4,0,0.0,0,0,0,ja,ja
Beverungen,5762008,Westfalen,Höxter,Detmold,3,0,0.0,300,0,300,ja,ja
Bielefeld,5711000,Westfalen,Bielefeld,Detmold,76,23,30.263157894736842,53,0,76,ja,ja
Billerbeck,5558008,Westfalen,Coesfeld,Münster,2,4,nicht auswertbar,0,0,4,nein,ja
Blankenheim,5366008,Rheinland,Euskirchen,Köln,2,1,50.0,1,0,2,ja,ja
Blomberg,5766016,Westfalen,Lippe,Detmold,6,0,0.0,0,6,6,ja,ja
Bochum,5911000,Ruhrgebiet,Bochum,Arnsberg,73,5,6.8493150684931505,68,0,73,ja,ja
Bönen,5978008,Ruhrgebiet,Unna,Arnsberg,5,1,20.0,5,0,6,ja,ja
Bonn,5314000,Rheinland,Bonn,Köln,83,27,32.53012048192771,56,0,83,ja,ja
Borchen,5774012,Westfalen,Paderborn,Detmold,4,3,75.0,0,0,3,ja,ja
Borgentreich,5762012,Westfalen,Höxter,Detmold,1,1,100.0,0,0,1,ja,ja
Borgholzhausen,5754004,Westfalen,Gütersloh,Detmold,1,0,0.0,1,0,1,ja,ja
Borken,5554012,Westfalen,Borken,Münster,12,12,100.0,0,0,12,ja,ja
Bornheim,5382012,Rheinland,Rhein-Sieg-Kreis,Köln,12,0,0.0,12,0,12,ja,ja
Bottrop,5512000,Ruhrgebiet,Bottrop,Münster,31,1000,nicht auswertbar,1200,0,2200,nein,ja
Brakel,5762016,Westfalen,Höxter,Detmold,3,2,66.66666666666666,6,0,8,ja,ja
Breckerfeld,5954004,Ruhrgebiet,Ennepe-Ruhr-Kreis,Arnsberg,1,1,100.0,0,0,100,ja,ja
Brilon,5958012,Westfalen,Hochsauerlandkreis,Arnsberg,5,1200,nicht auswertbar,0,0,1200,nein,ja
Brühl,5362012,Rheinland,Rhein-Erft-Kreis,Köln,12,5,41.66666666666667,7,0,12,ja,ja
Bünde,5758004,Westfalen,Herford,Detmold,14,6,42.857142857142854,9,0,15,ja,ja
Burbach,5970008,Westfalen,Siegen-Wittgenstein,Arnsberg,3,0,0.0,125,0,125,ja,ja
