Ort,AGS,Tablets je 100 Schüler,Aussage Tablets,Laptops je 100 Schüler,Aussage L,Desktoprechner je 100 Schüler,Aussage D,Whiteboards je 100 Schüler,Aussage W,Ausgaben je Schüler,Aussage A,Mittelwert NRW Tablets,Mittelwert NRW Laptops,Mittelwert NRW Desktop,Mittelwert NRW Whiteboards,Mittelwert NRW Ausgaben,Anzahl_Schüler,Bemerkungen
Alpen,5170004,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Attendorn,5966004,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Bad Münstereifel,5366004,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Bergkamen,5978004,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Bocholt,5554008,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Brüggen,5166004,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Castrop-Rauxel,5562004,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Datteln,5562008,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Drensteinfurt,5570016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
Elsdorf,5362016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,,keine Teilnahme an der Abfrage
