Ort,AGS,Tablets je 100 Schüler,Aussage Tablets,Laptops je 100 Schüler,Aussage L,Desktoprechner je 100 Schüler,Aussage D,Whiteboards je 100 Schüler,Aussage W,Ausgaben je Schüler,Aussage A,Mittelwert NRW Tablets,Mittelwert NRW Laptops,Mittelwert NRW Desktop,Mittelwert NRW Whiteboards,Mittelwert NRW Ausgaben,Bemerkungen
Aachen,5334002,"3,2",⬇,"1,1",⬇,"14,2",⬆,"0,2",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Ahaus,5554004,"7,6",⬇,"4,7",⬆,"18,9",⬆,"4,2",⬆,"63,9",⬆,"7,8","3,3","10,4","1,2","57,2",
Ahlen,5570004,"3,1",⬇,"3,9",⬆,"9,8",⬇,"0,4",⬇,"6,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Aldenhoven,5358004,5,⬇,"2,7",⬇,"8,6",⬇,"0,7",⬇,36,⬇,"7,8","3,3","10,4","1,2","57,2",
Alfter,5382004,"18,5",⬆,"2,2",⬇,"12,2",⬆,"0,2",⬇,"168,9",⬆,"7,8","3,3","10,4","1,2","57,2",
Alpen,5170004,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Alsdorf,5334004,"4,3",⬇,"7,3",⬆,"8,7",⬇,"0,1",⬇,"9,4",⬇,"7,8","3,3","10,4","1,2","57,2",
Altena,5962004,"0,9",⬇,"6,1",⬆,"10,1",⬇,"0,3",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Altenbeken,5774004,0,⬇,"2,4",⬇,"18,3",⬆,"0,6",⬇,"13,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Altenberge,5566004,"21,6",⬆,"1,1",⬇,"12,8",⬆,0,⬇,"39,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Anröchte,5974004,0,⬇,"1,2",⬇,"14,7",⬆,"0,8",⬇,"137,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Arnsberg,5958004,"5,5",⬇,"2,5",⬇,"8,3",⬇,"2,2",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Ascheberg,5558004,"39,4",⬆,"10,3",⬆,"14,2",⬆,"0,5",⬇,"146,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Attendorn,5966004,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
